file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,136,css,3aaecaea,Borngreat,2025-05-02,20:21:14,-07:00,2025-05-02T20:21:14-07:00,0,0
style.css,137,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,18
style.css,138,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,14
style.css,139,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,16
style.css,140,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,141,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,16
style.css,142,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,143,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,144,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,16
style.css,145,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,12
style.css,146,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,22
style.css,147,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,7
style.css,148,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,16
style.css,149,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,150,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,151,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,7
style.css,152,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,12
style.css,153,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,57
style.css,154,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,7
style.css,155,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,6
style.css,156,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,15
style.css,157,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,11
style.css,158,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,8
style.css,159,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,26
style.css,160,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,161,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,162,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,12
style.css,163,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,12
style.css,164,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,18
style.css,165,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,9
style.css,166,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,167,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,168,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,7
style.css,169,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,20
style.css,170,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,9
style.css,171,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,10
style.css,172,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,29
style.css,173,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,20
style.css,174,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,175,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,176,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,10
style.css,177,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,10
style.css,178,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,14
style.css,179,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,14
style.css,180,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,13
style.css,181,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,16
style.css,182,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,26
style.css,183,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,20
style.css,184,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,185,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,186,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,36
style.css,187,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,11
style.css,188,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,189,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,190,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,4
style.css,191,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,16
style.css,192,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,14
style.css,193,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,194,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,195,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,9
style.css,196,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,1,35
style.css,197,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
style.css,198,css,ddba52a0,Borngreat,2025-05-02,22:34:31,-07:00,2025-05-02T22:34:31-07:00,0,0
